Product ID,Product Name,Brand,Category,Skin Type,Main Ingredients,Rating,Price ($)
P0044,The Ordinary Table Mask,The Ordinary,Mask,Dry,Ceramide,3.9,34.31
P0045,The Ordinary Computer Sunscreen,The Ordinary,Sunscreen,Normal,Salicylic Acid,4.8,98.27
P0046,Avoskin Positive Cleanser,Avoskin,Cleanser,Oily,Niacinamide,3.2,93.88
P0047,Wardah Enough Mask,Wardah,Mask,Oily,Hyaluronic Acid,2.7,9.62
P0048,COSRX Final Toner,COSRX,Toner,Oily,Salicylic Acid,1.6,15.16
P0049,Wardah Soldier Serum,Wardah,Serum,Dry,Ceramide,5.0,49.15
P0050,Laneige Trouble Mask,Laneige,Mask,Normal,Niacinamide,3.6,67.89
P0051,Laneige Condition Essence,Laneige,Essence,Sensitive,Niacinamide,3.0,14.38
P0052,Somethinc Short Serum,Somethinc,Serum,Combination,Salicylic Acid,3.4,15.69
P0053,The Ordinary Support Sunscreen,The Ordinary,Sunscreen,Sensitive,Vitamin C,3.8,98.7
P0054,Innisfree Man Moisturizer,Innisfree,Moisturizer,Sensitive,Ceramide,3.1,76.12
P0055,Cetaphil Into Cleanser,Cetaphil,Cleanser,Oily,Ceramide,2.2,93.56
P0056,Cetaphil Business Sunscreen,Cetaphil,Sunscreen,Combination,Hyaluronic Acid,4.5,30.8
P0057,Innisfree People Mask,Innisfree,Mask,Oily,Vitamin C,2.4,14.84
P0058,Avoskin Those Mask,Avoskin,Mask,Combination,Peptides,1.9,83.6
P0059,COSRX Piece Moisturizer,COSRX,Moisturizer,Dry,Retinol,3.4,83.66
P0060,Avoskin Quickly Toner,Avoskin,Toner,Dry,Salicylic Acid,3.4,45.51
P0061,COSRX Man Mask,COSRX,Mask,Sensitive,Hyaluronic Acid,3.4,49.06
P0062,Avoskin Seat Sunscreen,Avoskin,Sunscreen,Combination,Hyaluronic Acid,1.4,91.69
P0063,The Ordinary Finally Toner,The Ordinary,Toner,Dry,Niacinamide,2.8,11.11
P0064,COSRX Hour Toner,COSRX,Toner,Oily,Green Tea,3.4,95.51
P0065,Skintific Area Serum,Skintific,Serum,Combination,Vitamin C,2.3,8.52
P0066,Laneige Evidence Serum,Laneige,Serum,Dry,Centella Asiatica,3.7,52.055
P0067,Laneige Serve Essence,Laneige,Essence,Dry,Retinol,2.5,97.25
P0068,COSRX Write Moisturizer,COSRX,Moisturizer,Oily,Green Tea,2.7,32.27
P0069,Somethinc Company Sunscreen,Somethinc,Sunscreen,Combination,Hyaluronic Acid,3.5,22.77
P0070,Cetaphil While Essence,Cetaphil,Essence,Normal,Peptides,4.8,21.14
P0071,The Ordinary Glass Sunscreen,The Ordinary,Sunscreen,Sensitive,Centella Asiatica,3.4,51.07
P0072,Wardah Chair Serum,Wardah,Serum,Oily,Niacinamide,4.2,69.26
P0073,Avoskin Mrs Cleanser,Avoskin,Cleanser,Sensitive,AHA BHA,1.8,93.98
P0074,Wardah Great Cleanser,Wardah,Cleanser,Normal,Retinol,1.9,5.1
P0075,Cetaphil By Mask,Cetaphil,Mask,Dry,Retinol,4.9,75.54
P0076,Somethinc Decide Sunscreen,Somethinc,Sunscreen,Normal,Salicylic Acid,2.8,78.64
P0077,Skintific Town Toner,Skintific,Toner,Oily,Peptides,3.1,10.32
P0078,Wardah Fill Cleanser,Wardah,Cleanser,Combination,Ceramide,3.6,13.11
P0079,Skintific Over Cleanser,Skintific,Cleanser,Normal,Vitamin C,4.1,47.97
P0080,Avoskin Economic Cleanser,Avoskin,Cleanser,Dry,Vitamin C,3.0,87.57
P0081,The Ordinary Series Cleanser,The Ordinary,Cleanser,Sensitive,Ceramide,3.0,25.53
P0082,Skintific Church Moisturizer,Skintific,Moisturizer,Normal,Vitamin C,3.5,91.53
P0083,The Ordinary Join Essence,The Ordinary,Essence,Normal,Vitamin C,5.0,5.98
P0084,Somethinc Professional Toner,Somethinc,Toner,Oily,Green Tea,2.0,52.055
P0085,Innisfree Region Mask,Innisfree,Mask,Normal,Peptides,2.2,82.64
P0086,Cetaphil Congress Moisturizer,Cetaphil,Moisturizer,Dry,Ceramide,5.0,44.13
P0087,COSRX National Cleanser,COSRX,Cleanser,Dry,Retinol,4.5,6.52
P0088,Avoskin Put Toner,Avoskin,Toner,Combination,Niacinamide,3.6,28.89
P0089,Cetaphil Always Moisturizer,Cetaphil,Moisturizer,Combination,Niacinamide,1.8,74.31
P0090,Innisfree Me Cleanser,Innisfree,Cleanser,Normal,Peptides,3.3,31.25
P0091,Emina Administration Moisturizer,Emina,Moisturizer,Normal,Niacinamide,1.5,28.63
P0092,COSRX Recently Toner,COSRX,Toner,Dry,AHA BHA,1.6,67.78
P0093,Skintific Skill Mask,Skintific,Mask,Dry,Salicylic Acid,4.0,79.89
P0094,COSRX World Cleanser,COSRX,Cleanser,Sensitive,Retinol,2.4,52.055
P0095,COSRX Western Toner,COSRX,Toner,Combination,Green Tea,4.4,49.74
P0096,Avoskin Understand Sunscreen,Avoskin,Sunscreen,Dry,Ceramide,2.8,60.86
P0097,Avoskin Society Essence,Avoskin,Essence,Combination,Vitamin C,1.9,83.05
P0098,COSRX Eat Essence,COSRX,Essence,Normal,Ceramide,2.7,52.055
P0099,COSRX Hand Toner,COSRX,Toner,Combination,Green Tea,3.5,38.3
P0100,COSRX Brother Serum,COSRX,Serum,Normal,Peptides,2.1,82.25
P0101,Avoskin Section Essence,Avoskin,Essence,Oily,Vitamin C,3.4,87.9
P0102,Somethinc Speak Mask,Somethinc,Mask,Oily,Salicylic Acid,2.1,23.23
P0103,The Ordinary Believe Toner,The Ordinary,Toner,Oily,AHA BHA,1.4,35.7
P0104,Avoskin Attack Serum,Avoskin,Serum,Dry,Hyaluronic Acid,3.0,54.48
P0105,COSRX Across Toner,COSRX,Toner,Dry,Hyaluronic Acid,3.5,20.12
P0106,The Ordinary Pick Cleanser,The Ordinary,Cleanser,Oily,Peptides,4.1,60.36
P0107,Emina End Sunscreen,Emina,Sunscreen,Sensitive,Vitamin C,4.3,7.25
P0108,Avoskin Article Essence,Avoskin,Essence,Combination,Retinol,3.0,41.08
P0109,Innisfree Agent Sunscreen,Innisfree,Sunscreen,Oily,Salicylic Acid,3.1,63.35
P0110,Cetaphil Deal Cleanser,Cetaphil,Cleanser,Oily,Peptides,1.3,17.97
P0111,Cetaphil Want Cleanser,Cetaphil,Cleanser,Normal,Peptides,4.7,81.34
P0112,COSRX Sister Sunscreen,COSRX,Sunscreen,Normal,Ceramide,3.5,52.055
P0113,Innisfree Military Moisturizer,Innisfree,Moisturizer,Sensitive,Vitamin C,3.0,97.13
P0114,Wardah Sound Sunscreen,Wardah,Sunscreen,Sensitive,Vitamin C,4.9,14.02
P0115,COSRX Free Essence,COSRX,Essence,Combination,Salicylic Acid,2.2,19.84
P0116,Laneige View Mask,Laneige,Mask,Dry,Salicylic Acid,1.1,73.89
P0117,Laneige Fund Cleanser,Laneige,Cleanser,Dry,Vitamin C,4.5,28.82
P0118,Laneige Director Moisturizer,Laneige,Moisturizer,Combination,Vitamin C,3.5,60.95
P0119,Avoskin Consider Serum,Avoskin,Serum,Combination,Vitamin C,3.0,19.1
P0120,Skintific Example Essence,Skintific,Essence,Oily,Green Tea,2.8,90.73
P0121,Wardah Major Cleanser,Wardah,Cleanser,Normal,Salicylic Acid,2.1,69.23
P0122,Wardah Name Essence,Wardah,Essence,Sensitive,AHA BHA,1.8,80.65
P0123,Somethinc Body Serum,Somethinc,Serum,Normal,Centella Asiatica,4.6,28.5
P0124,Innisfree Teach Sunscreen,Innisfree,Sunscreen,Dry,Hyaluronic Acid,2.3,52.055
P0125,The Ordinary Red Sunscreen,The Ordinary,Sunscreen,Oily,Green Tea,4.0,28.04
P0126,Innisfree Beat Moisturizer,Innisfree,Moisturizer,Normal,Retinol,3.9,61.43
P0127,Avoskin Glass Essence,Avoskin,Essence,Combination,Retinol,4.6,35.38
P0128,Cetaphil Suffer Serum,Cetaphil,Serum,Sensitive,Vitamin C,1.5,55.21
P0129,Emina Before Serum,Emina,Serum,Combination,Peptides,4.4,19.16
P0130,Somethinc While Toner,Somethinc,Toner,Sensitive,Peptides,2.1,90.53
P0131,Laneige Group Toner,Laneige,Toner,Dry,Green Tea,4.6,21.18
P0132,Innisfree Charge Toner,Innisfree,Toner,Sensitive,Retinol,2.0,52.055
P0133,Cetaphil Everything Mask,Cetaphil,Mask,Combination,Retinol,4.5,19.4
P0134,The Ordinary That Moisturizer,The Ordinary,Moisturizer,Combination,Vitamin C,1.8,27.25
P0135,Avoskin Consider Toner,Avoskin,Toner,Normal,Vitamin C,1.2,34.1
P0136,COSRX Hold Mask,COSRX,Mask,Normal,Niacinamide,3.7,47.35
P0137,Emina Modern Serum,Emina,Serum,Oily,Niacinamide,4.9,63.81
P0138,Innisfree Pay Sunscreen,Innisfree,Sunscreen,Normal,Vitamin C,4.4,50.12
P0139,The Ordinary Add Serum,The Ordinary,Serum,Sensitive,Vitamin C,2.4,65.8
P0140,Wardah Course Cleanser,Wardah,Cleanser,Normal,Peptides,3.0,52.055
P0141,Cetaphil Win Cleanser,Cetaphil,Cleanser,Sensitive,Niacinamide,3.0,83.8
P0142,Cetaphil Call Moisturizer,Cetaphil,Moisturizer,Dry,Centella Asiatica,4.0,34.57
P0143,Cetaphil Manager Serum,Cetaphil,Serum,Normal,Hyaluronic Acid,2.4,86.45
P0144,Innisfree Current Mask,Innisfree,Mask,Normal,Retinol,3.9,41.51
P0145,Avoskin House Toner,Avoskin,Toner,Sensitive,Hyaluronic Acid,4.8,38.32
P0146,Wardah Add Essence,Wardah,Essence,Oily,Vitamin C,4.9,41.39
P0147,COSRX Show Serum,COSRX,Serum,Dry,Peptides,1.8,47.64
P0148,Cetaphil Kind Mask,Cetaphil,Mask,Oily,Salicylic Acid,4.4,46.32
P0149,Emina Program Sunscreen,Emina,Sunscreen,Sensitive,Ceramide,1.9,65.49
P0150,Skintific Run Mask,Skintific,Mask,Sensitive,Hyaluronic Acid,3.7,19.95
P0151,Somethinc Rich Cleanser,Somethinc,Cleanser,Normal,Centella Asiatica,4.9,67.06
P0152,Cetaphil Purpose Moisturizer,Cetaphil,Moisturizer,Normal,Green Tea,1.1,93.17
P0153,Emina Case Serum,Emina,Serum,Dry,Niacinamide,3.0,17.03
P0154,Somethinc Less Essence,Somethinc,Essence,Dry,Centella Asiatica,1.8,38.1
P0155,The Ordinary Push Essence,The Ordinary,Essence,Dry,Green Tea,1.2,5.06
P0156,Wardah Almost Cleanser,Wardah,Cleanser,Combination,Green Tea,2.1,59.99
P0157,Somethinc National Toner,Somethinc,Toner,Normal,Retinol,3.8,93.58
P0158,Avoskin Behavior Essence,Avoskin,Essence,Oily,Niacinamide,3.1,78.89
P0159,The Ordinary Method Moisturizer,The Ordinary,Moisturizer,Normal,Peptides,3.0,44.12
P0160,Wardah Bag Mask,Wardah,Mask,Sensitive,Hyaluronic Acid,1.8,95.6
P0161,The Ordinary Establish Sunscreen,The Ordinary,Sunscreen,Oily,Vitamin C,1.5,64.78
P0162,Innisfree To Essence,Innisfree,Essence,Normal,AHA BHA,1.2,28.24
P0163,Laneige Send Toner,Laneige,Toner,Dry,Vitamin C,4.7,19.75
P0164,The Ordinary Boy Toner,The Ordinary,Toner,Dry,Hyaluronic Acid,1.2,42.4
P0165,Emina Require Serum,Emina,Serum,Dry,Niacinamide,2.3,5.92
P0166,Skintific Fear Moisturizer,Skintific,Moisturizer,Normal,Salicylic Acid,1.5,44.71
P0167,Innisfree Must Essence,Innisfree,Essence,Dry,Green Tea,1.5,65.41
P0168,The Ordinary Which Sunscreen,The Ordinary,Sunscreen,Sensitive,Vitamin C,2.9,52.055
P0169,Wardah Side Moisturizer,Wardah,Moisturizer,Combination,Niacinamide,1.1,79.81
P0170,Innisfree Goal Essence,Innisfree,Essence,Normal,Retinol,1.7,44.74
P0171,Innisfree Red Serum,Innisfree,Serum,Dry,Salicylic Acid,3.1,12.7
P0172,Skintific Religious Moisturizer,Skintific,Moisturizer,Combination,Vitamin C,4.0,75.35
P0173,Somethinc Thus Sunscreen,Somethinc,Sunscreen,Normal,Centella Asiatica,1.5,88.26
P0174,COSRX May Moisturizer,COSRX,Moisturizer,Dry,Centella Asiatica,2.2,84.25
P0175,The Ordinary Common Mask,The Ordinary,Mask,Combination,AHA BHA,2.6,95.19
P0176,Avoskin School Moisturizer,Avoskin,Moisturizer,Oily,Ceramide,1.4,26.95
P0177,Emina Get Essence,Emina,Essence,Combination,Hyaluronic Acid,4.4,54.49
P0178,The Ordinary Represent Essence,The Ordinary,Essence,Oily,Niacinamide,2.2,57.74
P0179,Emina Heavy Essence,Emina,Essence,Normal,Peptides,2.9,10.19
P0180,The Ordinary Consumer Moisturizer,The Ordinary,Moisturizer,Combination,Vitamin C,2.5,15.43
P0181,Somethinc Cost Essence,Somethinc,Essence,Normal,Green Tea,2.7,60.73
P0182,Emina Nice Serum,Emina,Serum,Combination,Vitamin C,4.5,32.94
P0183,Emina Well Serum,Emina,Serum,Dry,Green Tea,4.7,95.96
P0184,The Ordinary Manage Cleanser,The Ordinary,Cleanser,Oily,Green Tea,1.3,69.44
P0185,Laneige Would Toner,Laneige,Toner,Normal,Retinol,4.5,27.69
P0186,Laneige Garden Mask,Laneige,Mask,Oily,Vitamin C,4.8,15.68
P0187,Cetaphil Life Serum,Cetaphil,Serum,Oily,Retinol,2.1,97.2
P0188,COSRX Increase Mask,COSRX,Mask,Dry,Retinol,1.7,92.68
P0189,Innisfree Remember Mask,Innisfree,Mask,Oily,Salicylic Acid,1.7,10.87
P0190,Cetaphil Near Sunscreen,Cetaphil,Sunscreen,Sensitive,AHA BHA,1.1,56.55
P0191,Avoskin Move Essence,Avoskin,Essence,Sensitive,Niacinamide,4.1,42.83
P0192,Wardah Moment Essence,Wardah,Essence,Sensitive,Retinol,4.0,82.49
P0193,Innisfree Reason Cleanser,Innisfree,Cleanser,Combination,Retinol,2.9,56.1
P0194,Avoskin Billion Moisturizer,Avoskin,Moisturizer,Normal,Niacinamide,4.3,65.56
P0195,Skintific Major Moisturizer,Skintific,Moisturizer,Combination,Vitamin C,2.4,15.21
P0196,The Ordinary Become Essence,The Ordinary,Essence,Oily,Ceramide,4.0,95.07
P0197,Avoskin Authority Sunscreen,Avoskin,Sunscreen,Normal,Hyaluronic Acid,2.6,40.59
P0198,Cetaphil Friend Toner,Cetaphil,Toner,Normal,AHA BHA,3.7,10.47
P0199,The Ordinary Now Sunscreen,The Ordinary,Sunscreen,Dry,Salicylic Acid,2.6,10.68
P0200,The Ordinary Property Sunscreen,The Ordinary,Sunscreen,Sensitive,Ceramide,4.6,98.58
P0201,Wardah End Moisturizer,Wardah,Moisturizer,Dry,AHA BHA,3.7,95.14
P0202,Skintific Pay Cleanser,Skintific,Cleanser,Combination,Green Tea,1.0,9.07
P0203,Skintific Start Cleanser,Skintific,Cleanser,Sensitive,Salicylic Acid,4.5,55.46
P0204,Cetaphil Trouble Sunscreen,Cetaphil,Sunscreen,Normal,Green Tea,4.4,10.62
P0205,Cetaphil Matter Cleanser,Cetaphil,Cleanser,Combination,Ceramide,3.0,52.055
P0206,Cetaphil But Sunscreen,Cetaphil,Sunscreen,Sensitive,Salicylic Acid,1.8,52.055
P0207,Avoskin Alone Moisturizer,Avoskin,Moisturizer,Oily,Green Tea,1.7,92.64
P0208,COSRX Memory Serum,COSRX,Serum,Combination,Retinol,4.2,91.62
P0209,Skintific Final Toner,Skintific,Toner,Sensitive,Hyaluronic Acid,4.2,52.055
P0210,Cetaphil Effect Serum,Cetaphil,Serum,Dry,Ceramide,4.5,36.12
P0211,Cetaphil Direction Sunscreen,Cetaphil,Sunscreen,Sensitive,Centella Asiatica,3.8,55.91
P0212,Cetaphil Sister Serum,Cetaphil,Serum,Oily,Salicylic Acid,1.8,39.32
P0213,Innisfree Cut Toner,Innisfree,Toner,Sensitive,Vitamin C,3.4,22.47
P0214,The Ordinary Bag Sunscreen,The Ordinary,Sunscreen,Dry,Centella Asiatica,4.7,93.31
P0215,Wardah Size Cleanser,Wardah,Cleanser,Combination,AHA BHA,2.8,68.83
P0216,Cetaphil Crime Sunscreen,Cetaphil,Sunscreen,Dry,Peptides,3.0,29.83
P0217,Emina Community Mask,Emina,Mask,Normal,Peptides,1.7,16.67
P0218,Avoskin Space Sunscreen,Avoskin,Sunscreen,Dry,Vitamin C,3.4,19.9
P0219,Cetaphil Above Toner,Cetaphil,Toner,Oily,Green Tea,3.8,98.78
P0220,Skintific Ago Sunscreen,Skintific,Sunscreen,Dry,Peptides,4.9,56.69
P0221,Wardah Interest Toner,Wardah,Toner,Sensitive,AHA BHA,4.2,60.16
P0222,Laneige Down Mask,Laneige,Mask,Normal,Centella Asiatica,2.7,25.82
P0223,The Ordinary Mission Serum,The Ordinary,Serum,Dry,Retinol,4.7,52.055
P0224,Avoskin Public Cleanser,Avoskin,Cleanser,Normal,Retinol,3.3,8.79
P0225,Skintific Tree Serum,Skintific,Serum,Normal,Peptides,4.8,98.35
P0226,Skintific Current Serum,Skintific,Serum,Dry,Hyaluronic Acid,4.4,8.62
P0227,Cetaphil Later Toner,Cetaphil,Toner,Sensitive,Vitamin C,1.3,94.77
P0228,Innisfree Sell Serum,Innisfree,Serum,Oily,Hyaluronic Acid,1.5,71.65
P0229,Wardah Bring Cleanser,Wardah,Cleanser,Dry,Retinol,2.4,16.16
P0230,Innisfree This Essence,Innisfree,Essence,Normal,Vitamin C,3.8,86.92
P0231,Wardah Left Moisturizer,Wardah,Moisturizer,Oily,Niacinamide,3.3,83.87
P0232,Somethinc State Mask,Somethinc,Mask,Normal,Retinol,4.3,86.61
P0233,COSRX Security Toner,COSRX,Toner,Normal,Peptides,2.6,64.41
P0234,Cetaphil Thought Moisturizer,Cetaphil,Moisturizer,Dry,AHA BHA,3.0,75.33
P0235,Somethinc Crime Toner,Somethinc,Toner,Combination,Vitamin C,2.1,41.23
P0236,Cetaphil Agent Mask,Cetaphil,Mask,Sensitive,Vitamin C,2.6,49.68
P0237,Cetaphil Fly Essence,Cetaphil,Essence,Normal,Vitamin C,1.4,75.5
P0238,Somethinc For Mask,Somethinc,Mask,Normal,Vitamin C,1.2,84.79
P0239,Wardah Would Cleanser,Wardah,Cleanser,Dry,Salicylic Acid,1.1,97.64
P0240,COSRX Eat Cleanser,COSRX,Cleanser,Dry,Centella Asiatica,2.2,27.65
P0241,Innisfree At Sunscreen,Innisfree,Sunscreen,Normal,Vitamin C,3.0,58.27
P0242,Laneige Notice Serum,Laneige,Serum,Oily,Vitamin C,2.6,69.24
P0243,The Ordinary See Sunscreen,The Ordinary,Sunscreen,Dry,Retinol,2.7,55.18
P0244,The Ordinary Challenge Serum,The Ordinary,Serum,Oily,Ceramide,1.9,94.48
P0245,Somethinc Admit Toner,Somethinc,Toner,Normal,Ceramide,3.2,77.38
P0246,COSRX Small Serum,COSRX,Serum,Normal,Peptides,4.8,45.86
P0247,Somethinc Able Serum,Somethinc,Serum,Normal,Centella Asiatica,3.8,59.62
P0248,Avoskin She Cleanser,Avoskin,Cleanser,Dry,Vitamin C,2.5,97.05
P0249,Laneige In Cleanser,Laneige,Cleanser,Normal,Hyaluronic Acid,1.7,65.28
P0250,Cetaphil Minute Essence,Cetaphil,Essence,Combination,Retinol,2.5,83.6
P0251,Somethinc Conference Toner,Somethinc,Toner,Sensitive,AHA BHA,1.3,58.72
P0252,Laneige Different Moisturizer,Laneige,Moisturizer,Dry,Peptides,2.1,8.13
P0253,Cetaphil Get Toner,Cetaphil,Toner,Normal,Vitamin C,2.2,5.35
P0254,Laneige Reason Serum,Laneige,Serum,Normal,Peptides,1.8,72.97
P0255,Wardah Arrive Moisturizer,Wardah,Moisturizer,Normal,Hyaluronic Acid,3.0,74.46
P0256,Wardah Test Toner,Wardah,Toner,Dry,Centella Asiatica,3.2,16.01
P0257,COSRX Impact Moisturizer,COSRX,Moisturizer,Normal,Peptides,2.4,89.36
P0258,The Ordinary Himself Serum,The Ordinary,Serum,Normal,AHA BHA,1.0,18.87
P0259,The Ordinary Government Sunscreen,The Ordinary,Sunscreen,Normal,Vitamin C,1.0,95.05
P0260,COSRX Read Mask,COSRX,Mask,Normal,AHA BHA,1.6,57.23
P0261,COSRX Effort Mask,COSRX,Mask,Normal,Niacinamide,3.0,18.7
P0262,Laneige At Sunscreen,Laneige,Sunscreen,Combination,Vitamin C,3.4,22.92
P0263,Somethinc Others Essence,Somethinc,Essence,Combination,Green Tea,1.1,58.59
P0264,Emina Difficult Toner,Emina,Toner,Combination,Vitamin C,3.9,76.79
P0265,Avoskin Trade Cleanser,Avoskin,Cleanser,Sensitive,Retinol,3.0,16.35
P0266,Somethinc Artist Mask,Somethinc,Mask,Oily,Peptides,1.2,47.71
P0267,Laneige Office Essence,Laneige,Essence,Sensitive,Vitamin C,1.8,56.05
P0268,COSRX Now Serum,COSRX,Serum,Normal,Hyaluronic Acid,3.5,15.33
P0269,Skintific Term Mask,Skintific,Mask,Normal,AHA BHA,1.6,14.09
P0270,Emina Drop Sunscreen,Emina,Sunscreen,Normal,Retinol,2.2,37.52
P0271,Somethinc Learn Serum,Somethinc,Serum,Dry,Vitamin C,4.7,52.055
P0272,Emina Yet Moisturizer,Emina,Moisturizer,Combination,Green Tea,4.0,56.24
P0273,Skintific Charge Essence,Skintific,Essence,Oily,AHA BHA,2.4,16.21
P0274,The Ordinary Assume Cleanser,The Ordinary,Cleanser,Normal,Peptides,4.8,78.03
P0275,Somethinc Exist Cleanser,Somethinc,Cleanser,Oily,Niacinamide,3.6,86.89
P0276,Cetaphil Amount Cleanser,Cetaphil,Cleanser,Combination,Hyaluronic Acid,1.2,27.3
P0277,Somethinc Hand Serum,Somethinc,Serum,Normal,Centella Asiatica,4.9,77.83
P0278,Emina Art Serum,Emina,Serum,Normal,Ceramide,1.9,54.61
P0279,Innisfree Some Cleanser,Innisfree,Cleanser,Normal,Niacinamide,4.4,16.77
P0280,Laneige Result Essence,Laneige,Essence,Oily,Salicylic Acid,2.6,32.62
P0281,Laneige Impact Essence,Laneige,Essence,Sensitive,Niacinamide,1.9,66.82
P0282,The Ordinary Clear Serum,The Ordinary,Serum,Normal,Peptides,1.8,31.04
P0283,Innisfree Above Mask,Innisfree,Mask,Dry,Vitamin C,4.0,53.0
P0284,The Ordinary Scene Essence,The Ordinary,Essence,Combination,Peptides,1.8,23.36
P0285,Skintific Off Essence,Skintific,Essence,Sensitive,Niacinamide,4.5,33.66
P0286,Somethinc To Toner,Somethinc,Toner,Oily,Ceramide,1.7,61.51
P0287,Wardah List Moisturizer,Wardah,Moisturizer,Normal,Peptides,4.4,74.49
P0288,Skintific Green Sunscreen,Skintific,Sunscreen,Normal,Niacinamide,4.5,35.81
P0289,Avoskin Dream Serum,Avoskin,Serum,Combination,Vitamin C,3.3,96.08
P0290,Skintific Media Moisturizer,Skintific,Moisturizer,Sensitive,Retinol,2.5,15.61
P0291,COSRX Activity Essence,COSRX,Essence,Dry,Centella Asiatica,2.5,40.79
P0292,Skintific Compare Toner,Skintific,Toner,Normal,Centella Asiatica,1.3,71.6
P0293,Laneige Management Serum,Laneige,Serum,Oily,Peptides,3.0,82.69
P0294,Skintific Car Moisturizer,Skintific,Moisturizer,Normal,Hyaluronic Acid,3.4,96.06
P0295,Somethinc Resource Cleanser,Somethinc,Cleanser,Combination,Niacinamide,2.1,75.99
P0296,Laneige Fine Moisturizer,Laneige,Moisturizer,Dry,Vitamin C,4.1,86.99
P0297,COSRX Loss Essence,COSRX,Essence,Normal,Ceramide,3.6,96.32
P0298,The Ordinary Other Serum,The Ordinary,Serum,Combination,Vitamin C,4.5,59.48
